,Title,Description,Link,Combined_Text,Sentiment
12,AOC declares victory in fight for Green New Deal 5 years later Social and ecological transformation,Rep Alexandria OcasioCortez declared victory in her fight for a Green New Deal saying President Biden has pursued her vision but called for additional transformation,/politics/aoc-declares-victory-fight-green-new-deal-5-years-later-social-ecological-transformation,AOC declares victory in fight for Green New Deal 5 years later Social and ecological transformation Rep Alexandria OcasioCortez declared victory in her fight for a Green New Deal saying President Biden has pursued her vision but called for additional transformation,Negative
13,Why gas stove owners should still be worried,The Biden administration is backtracking on energy efficiency regulation of gas stoves but given their climate agenda there are still ways they could go after them,/opinion/why-gas-stove-owners-should-still-worried,Why gas stove owners should still be worried The Biden administration is backtracking on energy efficiency regulation of gas stoves but given their climate agenda there are still ways they could go after them,Positive
14,State AGs warn Bidens natural gas moratorium violates federal law demand reversal,FIRST ON FOX A group of nearly two dozen states are warning that President Bidens latest crackdown on natural gas exports may violate several federal statutes,/politics/state-ags-warn-bidens-natural-gas-moratorium-violates-federal-law-demand-reversal,State AGs warn Bidens natural gas moratorium violates federal law demand reversal FIRST ON FOX A group of nearly two dozen states are warning that President Bidens latest crackdown on natural gas exports may violate several federal statutes,Negative
15,John Kerrys climate office faces GOP Oversight probe over coordination with eco group kitchen cabinet,FIRST ON FOX The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerrys apparent frequent work with eco groups,/politics/john-kerrys-climate-office-faces-gop-oversight-probe-coordination-eco-group-kitchen-cabinet,John Kerrys climate office faces GOP Oversight probe over coordination with eco group kitchen cabinet FIRST ON FOX The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerrys apparent frequent work with eco groups,Positive
16,Bidens latest climate rules crack down on manufacturing ignoring industry warnings of economic devastation,The Environmental Protection Agency unveiled a sweeping regulatory action curbing particulate matter emissions from industry sources such as manufacturing and energy,/politics/bidens-latest-climate-rules-crack-down-manufacturing-ignoring-industry-warnings-economic-devastation,Bidens latest climate rules crack down on manufacturing ignoring industry warnings of economic devastation The Environmental Protection Agency unveiled a sweeping regulatory action curbing particulate matter emissions from industry sources such as manufacturing and energy,Negative
17,Biden admin sued for hiding John Kerrys staff coordination with eco groups,FIRST ON FOX The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerrys taxpayerfunded staff,/politics/biden-admin-sued-hiding-john-kerrys-staff-coordination-eco-groups,Biden admin sued for hiding John Kerrys staff coordination with eco groups FIRST ON FOX The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerrys taxpayerfunded staff,Negative
18,TikTok activist says he advised White House on Bidens new natural gas moratorium,A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports,/politics/tiktok-activist-says-he-advised-white-house-bidens-new-natural-gas-moratorium,TikTok activist says he advised White House on Bidens new natural gas moratorium A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports,Positive
19,Another dead whale beaches in Maryland amid rapid offshore wind development,State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy,/politics/another-dead-whale-beaches-maryland-amid-rapid-offshore-wind-development,Another dead whale beaches in Maryland amid rapid offshore wind development State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy,Negative
20,Moderate Dems silent as Biden skirts Senate confirmation for John Kerrys replacement,Senate Democrats were silent when asked by Fox News Digital for a response to President Bidens decision to appoint John Podesta to a top policy role without Senate confirmation,/politics/moderate-dems-silent-biden-skirts-senate-confirmation-john-kerrys-replacement,Moderate Dems silent as Biden skirts Senate confirmation for John Kerrys replacement Senate Democrats were silent when asked by Fox News Digital for a response to President Bidens decision to appoint John Podesta to a top policy role without Senate confirmation,Positive
21,DC jury orders conservative commentator to pay 1M for defaming climate scientist,Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed hockey stick graph,/politics/dc-jury-orders-conservative-commentator-pay-1-million-defaming-climate-scientist,DC jury orders conservative commentator to pay 1M for defaming climate scientist Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed hockey stick graph,Neutral
22,AOC declares victory in fight for Green New Deal 5 years later Social and ecological transformation,Rep Alexandria OcasioCortez declared victory in her fight for a Green New Deal saying President Biden has pursued her vision but called for additional transformation,/politics/aoc-declares-victory-fight-green-new-deal-5-years-later-social-ecological-transformation,AOC declares victory in fight for Green New Deal 5 years later Social and ecological transformation Rep Alexandria OcasioCortez declared victory in her fight for a Green New Deal saying President Biden has pursued her vision but called for additional transformation,Negative
23,Why gas stove owners should still be worried,The Biden administration is backtracking on energy efficiency regulation of gas stoves but given their climate agenda there are still ways they could go after them,/opinion/why-gas-stove-owners-should-still-worried,Why gas stove owners should still be worried The Biden administration is backtracking on energy efficiency regulation of gas stoves but given their climate agenda there are still ways they could go after them,Positive
24,State AGs warn Bidens natural gas moratorium violates federal law demand reversal,FIRST ON FOX A group of nearly two dozen states are warning that President Bidens latest crackdown on natural gas exports may violate several federal statutes,/politics/state-ags-warn-bidens-natural-gas-moratorium-violates-federal-law-demand-reversal,State AGs warn Bidens natural gas moratorium violates federal law demand reversal FIRST ON FOX A group of nearly two dozen states are warning that President Bidens latest crackdown on natural gas exports may violate several federal statutes,Negative
25,John Kerrys climate office faces GOP Oversight probe over coordination with eco group kitchen cabinet,FIRST ON FOX The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerrys apparent frequent work with eco groups,/politics/john-kerrys-climate-office-faces-gop-oversight-probe-coordination-eco-group-kitchen-cabinet,John Kerrys climate office faces GOP Oversight probe over coordination with eco group kitchen cabinet FIRST ON FOX The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerrys apparent frequent work with eco groups,Positive
26,Bidens latest climate rules crack down on manufacturing ignoring industry warnings of economic devastation,The Environmental Protection Agency unveiled a sweeping regulatory action curbing particulate matter emissions from industry sources such as manufacturing and energy,/politics/bidens-latest-climate-rules-crack-down-manufacturing-ignoring-industry-warnings-economic-devastation,Bidens latest climate rules crack down on manufacturing ignoring industry warnings of economic devastation The Environmental Protection Agency unveiled a sweeping regulatory action curbing particulate matter emissions from industry sources such as manufacturing and energy,Negative
27,Biden admin sued for hiding John Kerrys staff coordination with eco groups,FIRST ON FOX The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerrys taxpayerfunded staff,/politics/biden-admin-sued-hiding-john-kerrys-staff-coordination-eco-groups,Biden admin sued for hiding John Kerrys staff coordination with eco groups FIRST ON FOX The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerrys taxpayerfunded staff,Negative
28,TikTok activist says he advised White House on Bidens new natural gas moratorium,A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports,/politics/tiktok-activist-says-he-advised-white-house-bidens-new-natural-gas-moratorium,TikTok activist says he advised White House on Bidens new natural gas moratorium A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports,Positive
29,Another dead whale beaches in Maryland amid rapid offshore wind development,State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy,/politics/another-dead-whale-beaches-maryland-amid-rapid-offshore-wind-development,Another dead whale beaches in Maryland amid rapid offshore wind development State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy,Negative
30,Moderate Dems silent as Biden skirts Senate confirmation for John Kerrys replacement,Senate Democrats were silent when asked by Fox News Digital for a response to President Bidens decision to appoint John Podesta to a top policy role without Senate confirmation,/politics/moderate-dems-silent-biden-skirts-senate-confirmation-john-kerrys-replacement,Moderate Dems silent as Biden skirts Senate confirmation for John Kerrys replacement Senate Democrats were silent when asked by Fox News Digital for a response to President Bidens decision to appoint John Podesta to a top policy role without Senate confirmation,Positive
31,DC jury orders conservative commentator to pay 1M for defaming climate scientist,Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed hockey stick graph,/politics/dc-jury-orders-conservative-commentator-pay-1-million-defaming-climate-scientist,DC jury orders conservative commentator to pay 1M for defaming climate scientist Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed hockey stick graph,Neutral
32,AOC declares victory in fight for Green New Deal 5 years later Social and ecological transformation,Rep Alexandria OcasioCortez declared victory in her fight for a Green New Deal saying President Biden has pursued her vision but called for additional transformation,/politics/aoc-declares-victory-fight-green-new-deal-5-years-later-social-ecological-transformation,AOC declares victory in fight for Green New Deal 5 years later Social and ecological transformation Rep Alexandria OcasioCortez declared victory in her fight for a Green New Deal saying President Biden has pursued her vision but called for additional transformation,Negative
33,Why gas stove owners should still be worried,The Biden administration is backtracking on energy efficiency regulation of gas stoves but given their climate agenda there are still ways they could go after them,/opinion/why-gas-stove-owners-should-still-worried,Why gas stove owners should still be worried The Biden administration is backtracking on energy efficiency regulation of gas stoves but given their climate agenda there are still ways they could go after them,Positive
34,State AGs warn Bidens natural gas moratorium violates federal law demand reversal,FIRST ON FOX A group of nearly two dozen states are warning that President Bidens latest crackdown on natural gas exports may violate several federal statutes,/politics/state-ags-warn-bidens-natural-gas-moratorium-violates-federal-law-demand-reversal,State AGs warn Bidens natural gas moratorium violates federal law demand reversal FIRST ON FOX A group of nearly two dozen states are warning that President Bidens latest crackdown on natural gas exports may violate several federal statutes,Negative
35,John Kerrys climate office faces GOP Oversight probe over coordination with eco group kitchen cabinet,FIRST ON FOX The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerrys apparent frequent work with eco groups,/politics/john-kerrys-climate-office-faces-gop-oversight-probe-coordination-eco-group-kitchen-cabinet,John Kerrys climate office faces GOP Oversight probe over coordination with eco group kitchen cabinet FIRST ON FOX The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerrys apparent frequent work with eco groups,Positive
36,Bidens latest climate rules crack down on manufacturing ignoring industry warnings of economic devastation,The Environmental Protection Agency unveiled a sweeping regulatory action curbing particulate matter emissions from industry sources such as manufacturing and energy,/politics/bidens-latest-climate-rules-crack-down-manufacturing-ignoring-industry-warnings-economic-devastation,Bidens latest climate rules crack down on manufacturing ignoring industry warnings of economic devastation The Environmental Protection Agency unveiled a sweeping regulatory action curbing particulate matter emissions from industry sources such as manufacturing and energy,Negative
37,Biden admin sued for hiding John Kerrys staff coordination with eco groups,FIRST ON FOX The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerrys taxpayerfunded staff,/politics/biden-admin-sued-hiding-john-kerrys-staff-coordination-eco-groups,Biden admin sued for hiding John Kerrys staff coordination with eco groups FIRST ON FOX The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerrys taxpayerfunded staff,Negative
38,TikTok activist says he advised White House on Bidens new natural gas moratorium,A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports,/politics/tiktok-activist-says-he-advised-white-house-bidens-new-natural-gas-moratorium,TikTok activist says he advised White House on Bidens new natural gas moratorium A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports,Positive
39,Another dead whale beaches in Maryland amid rapid offshore wind development,State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy,/politics/another-dead-whale-beaches-maryland-amid-rapid-offshore-wind-development,Another dead whale beaches in Maryland amid rapid offshore wind development State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy,Negative
40,Moderate Dems silent as Biden skirts Senate confirmation for John Kerrys replacement,Senate Democrats were silent when asked by Fox News Digital for a response to President Bidens decision to appoint John Podesta to a top policy role without Senate confirmation,/politics/moderate-dems-silent-biden-skirts-senate-confirmation-john-kerrys-replacement,Moderate Dems silent as Biden skirts Senate confirmation for John Kerrys replacement Senate Democrats were silent when asked by Fox News Digital for a response to President Bidens decision to appoint John Podesta to a top policy role without Senate confirmation,Positive
41,DC jury orders conservative commentator to pay 1M for defaming climate scientist,Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed hockey stick graph,/politics/dc-jury-orders-conservative-commentator-pay-1-million-defaming-climate-scientist,DC jury orders conservative commentator to pay 1M for defaming climate scientist Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed hockey stick graph,Neutral
42,AOC declares victory in fight for Green New Deal 5 years later Social and ecological transformation,Rep Alexandria OcasioCortez declared victory in her fight for a Green New Deal saying President Biden has pursued her vision but called for additional transformation,/politics/aoc-declares-victory-fight-green-new-deal-5-years-later-social-ecological-transformation,AOC declares victory in fight for Green New Deal 5 years later Social and ecological transformation Rep Alexandria OcasioCortez declared victory in her fight for a Green New Deal saying President Biden has pursued her vision but called for additional transformation,Negative
43,Why gas stove owners should still be worried,The Biden administration is backtracking on energy efficiency regulation of gas stoves but given their climate agenda there are still ways they could go after them,/opinion/why-gas-stove-owners-should-still-worried,Why gas stove owners should still be worried The Biden administration is backtracking on energy efficiency regulation of gas stoves but given their climate agenda there are still ways they could go after them,Positive
44,State AGs warn Bidens natural gas moratorium violates federal law demand reversal,FIRST ON FOX A group of nearly two dozen states are warning that President Bidens latest crackdown on natural gas exports may violate several federal statutes,/politics/state-ags-warn-bidens-natural-gas-moratorium-violates-federal-law-demand-reversal,State AGs warn Bidens natural gas moratorium violates federal law demand reversal FIRST ON FOX A group of nearly two dozen states are warning that President Bidens latest crackdown on natural gas exports may violate several federal statutes,Negative
45,John Kerrys climate office faces GOP Oversight probe over coordination with eco group kitchen cabinet,FIRST ON FOX The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerrys apparent frequent work with eco groups,/politics/john-kerrys-climate-office-faces-gop-oversight-probe-coordination-eco-group-kitchen-cabinet,John Kerrys climate office faces GOP Oversight probe over coordination with eco group kitchen cabinet FIRST ON FOX The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerrys apparent frequent work with eco groups,Positive
46,Bidens latest climate rules crack down on manufacturing ignoring industry warnings of economic devastation,The Environmental Protection Agency unveiled a sweeping regulatory action curbing particulate matter emissions from industry sources such as manufacturing and energy,/politics/bidens-latest-climate-rules-crack-down-manufacturing-ignoring-industry-warnings-economic-devastation,Bidens latest climate rules crack down on manufacturing ignoring industry warnings of economic devastation The Environmental Protection Agency unveiled a sweeping regulatory action curbing particulate matter emissions from industry sources such as manufacturing and energy,Negative
47,Biden admin sued for hiding John Kerrys staff coordination with eco groups,FIRST ON FOX The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerrys taxpayerfunded staff,/politics/biden-admin-sued-hiding-john-kerrys-staff-coordination-eco-groups,Biden admin sued for hiding John Kerrys staff coordination with eco groups FIRST ON FOX The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerrys taxpayerfunded staff,Negative
48,TikTok activist says he advised White House on Bidens new natural gas moratorium,A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports,/politics/tiktok-activist-says-he-advised-white-house-bidens-new-natural-gas-moratorium,TikTok activist says he advised White House on Bidens new natural gas moratorium A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports,Positive
49,Another dead whale beaches in Maryland amid rapid offshore wind development,State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy,/politics/another-dead-whale-beaches-maryland-amid-rapid-offshore-wind-development,Another dead whale beaches in Maryland amid rapid offshore wind development State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy,Negative
50,Moderate Dems silent as Biden skirts Senate confirmation for John Kerrys replacement,Senate Democrats were silent when asked by Fox News Digital for a response to President Bidens decision to appoint John Podesta to a top policy role without Senate confirmation,/politics/moderate-dems-silent-biden-skirts-senate-confirmation-john-kerrys-replacement,Moderate Dems silent as Biden skirts Senate confirmation for John Kerrys replacement Senate Democrats were silent when asked by Fox News Digital for a response to President Bidens decision to appoint John Podesta to a top policy role without Senate confirmation,Positive
51,DC jury orders conservative commentator to pay 1M for defaming climate scientist,Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed hockey stick graph,/politics/dc-jury-orders-conservative-commentator-pay-1-million-defaming-climate-scientist,DC jury orders conservative commentator to pay 1M for defaming climate scientist Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed hockey stick graph,Neutral
52,AOC declares victory in fight for Green New Deal 5 years later Social and ecological transformation,Rep Alexandria OcasioCortez declared victory in her fight for a Green New Deal saying President Biden has pursued her vision but called for additional transformation,/politics/aoc-declares-victory-fight-green-new-deal-5-years-later-social-ecological-transformation,AOC declares victory in fight for Green New Deal 5 years later Social and ecological transformation Rep Alexandria OcasioCortez declared victory in her fight for a Green New Deal saying President Biden has pursued her vision but called for additional transformation,Negative
53,Why gas stove owners should still be worried,The Biden administration is backtracking on energy efficiency regulation of gas stoves but given their climate agenda there are still ways they could go after them,/opinion/why-gas-stove-owners-should-still-worried,Why gas stove owners should still be worried The Biden administration is backtracking on energy efficiency regulation of gas stoves but given their climate agenda there are still ways they could go after them,Positive
54,State AGs warn Bidens natural gas moratorium violates federal law demand reversal,FIRST ON FOX A group of nearly two dozen states are warning that President Bidens latest crackdown on natural gas exports may violate several federal statutes,/politics/state-ags-warn-bidens-natural-gas-moratorium-violates-federal-law-demand-reversal,State AGs warn Bidens natural gas moratorium violates federal law demand reversal FIRST ON FOX A group of nearly two dozen states are warning that President Bidens latest crackdown on natural gas exports may violate several federal statutes,Negative
55,John Kerrys climate office faces GOP Oversight probe over coordination with eco group kitchen cabinet,FIRST ON FOX The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerrys apparent frequent work with eco groups,/politics/john-kerrys-climate-office-faces-gop-oversight-probe-coordination-eco-group-kitchen-cabinet,John Kerrys climate office faces GOP Oversight probe over coordination with eco group kitchen cabinet FIRST ON FOX The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerrys apparent frequent work with eco groups,Positive
56,Bidens latest climate rules crack down on manufacturing ignoring industry warnings of economic devastation,The Environmental Protection Agency unveiled a sweeping regulatory action curbing particulate matter emissions from industry sources such as manufacturing and energy,/politics/bidens-latest-climate-rules-crack-down-manufacturing-ignoring-industry-warnings-economic-devastation,Bidens latest climate rules crack down on manufacturing ignoring industry warnings of economic devastation The Environmental Protection Agency unveiled a sweeping regulatory action curbing particulate matter emissions from industry sources such as manufacturing and energy,Negative
57,Biden admin sued for hiding John Kerrys staff coordination with eco groups,FIRST ON FOX The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerrys taxpayerfunded staff,/politics/biden-admin-sued-hiding-john-kerrys-staff-coordination-eco-groups,Biden admin sued for hiding John Kerrys staff coordination with eco groups FIRST ON FOX The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerrys taxpayerfunded staff,Negative
58,TikTok activist says he advised White House on Bidens new natural gas moratorium,A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports,/politics/tiktok-activist-says-he-advised-white-house-bidens-new-natural-gas-moratorium,TikTok activist says he advised White House on Bidens new natural gas moratorium A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports,Positive
59,Another dead whale beaches in Maryland amid rapid offshore wind development,State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy,/politics/another-dead-whale-beaches-maryland-amid-rapid-offshore-wind-development,Another dead whale beaches in Maryland amid rapid offshore wind development State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy,Negative
60,Moderate Dems silent as Biden skirts Senate confirmation for John Kerrys replacement,Senate Democrats were silent when asked by Fox News Digital for a response to President Bidens decision to appoint John Podesta to a top policy role without Senate confirmation,/politics/moderate-dems-silent-biden-skirts-senate-confirmation-john-kerrys-replacement,Moderate Dems silent as Biden skirts Senate confirmation for John Kerrys replacement Senate Democrats were silent when asked by Fox News Digital for a response to President Bidens decision to appoint John Podesta to a top policy role without Senate confirmation,Positive
61,DC jury orders conservative commentator to pay 1M for defaming climate scientist,Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed hockey stick graph,/politics/dc-jury-orders-conservative-commentator-pay-1-million-defaming-climate-scientist,DC jury orders conservative commentator to pay 1M for defaming climate scientist Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed hockey stick graph,Neutral
62,AOC declares victory in fight for Green New Deal 5 years later Social and ecological transformation,Rep Alexandria OcasioCortez declared victory in her fight for a Green New Deal saying President Biden has pursued her vision but called for additional transformation,/politics/aoc-declares-victory-fight-green-new-deal-5-years-later-social-ecological-transformation,AOC declares victory in fight for Green New Deal 5 years later Social and ecological transformation Rep Alexandria OcasioCortez declared victory in her fight for a Green New Deal saying President Biden has pursued her vision but called for additional transformation,Negative
63,Why gas stove owners should still be worried,The Biden administration is backtracking on energy efficiency regulation of gas stoves but given their climate agenda there are still ways they could go after them,/opinion/why-gas-stove-owners-should-still-worried,Why gas stove owners should still be worried The Biden administration is backtracking on energy efficiency regulation of gas stoves but given their climate agenda there are still ways they could go after them,Positive
64,State AGs warn Bidens natural gas moratorium violates federal law demand reversal,FIRST ON FOX A group of nearly two dozen states are warning that President Bidens latest crackdown on natural gas exports may violate several federal statutes,/politics/state-ags-warn-bidens-natural-gas-moratorium-violates-federal-law-demand-reversal,State AGs warn Bidens natural gas moratorium violates federal law demand reversal FIRST ON FOX A group of nearly two dozen states are warning that President Bidens latest crackdown on natural gas exports may violate several federal statutes,Negative
65,John Kerrys climate office faces GOP Oversight probe over coordination with eco group kitchen cabinet,FIRST ON FOX The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerrys apparent frequent work with eco groups,/politics/john-kerrys-climate-office-faces-gop-oversight-probe-coordination-eco-group-kitchen-cabinet,John Kerrys climate office faces GOP Oversight probe over coordination with eco group kitchen cabinet FIRST ON FOX The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerrys apparent frequent work with eco groups,Positive
66,Bidens latest climate rules crack down on manufacturing ignoring industry warnings of economic devastation,The Environmental Protection Agency unveiled a sweeping regulatory action curbing particulate matter emissions from industry sources such as manufacturing and energy,/politics/bidens-latest-climate-rules-crack-down-manufacturing-ignoring-industry-warnings-economic-devastation,Bidens latest climate rules crack down on manufacturing ignoring industry warnings of economic devastation The Environmental Protection Agency unveiled a sweeping regulatory action curbing particulate matter emissions from industry sources such as manufacturing and energy,Negative
